timestamp,window,prediction
2025-07-16 09:41:12,1,1
2025-07-16 09:41:15,2,1
2025-07-16 09:41:18,3,1
2025-07-16 09:41:21,4,1
2025-07-16 09:41:24,5,1
2025-07-16 09:41:27,6,1
2025-07-16 09:41:30,7,1
2025-07-16 09:41:33,8,1
2025-07-16 09:41:36,9,1
2025-07-16 09:41:39,10,4
2025-07-16 09:41:42,11,4
2025-07-16 09:41:45,12,4
