x,y,z
9.770737,1.5251064,0.33279404
9.631873,1.553837,0.30645782
9.770737,1.5993267,0.30645782
9.844957,1.5945383,0.320823
9.651027,1.5897499,0.29448682
9.892841,1.5705963,0.37110126
9.751583,1.5634137,0.36391866
9.643845,1.4891934,0.35913026
9.794679,1.5059528,0.41180268
9.734824,1.6759412,0.32321724
9.698911,1.6160861,0.31364042
9.727641,1.6639702,0.33758244
9.749189,1.6232687,0.2633622
9.674969,1.508347,0.21308395
9.837775,1.5610195,0.32800564
9.7084875,1.5394717,0.2777274
9.713276,1.5873557,0.3184288
9.830592,1.6160861,0.2657564
9.662998,1.6352397,0.25857377
9.821015,1.6208745,0.32321724
9.718064,1.6496049,0.30885202
9.7084875,1.6400281,0.35913026
9.811439,1.6136919,0.39743748
9.653421,1.5275006,0.19871874
9.76116,1.5634137,0.32321724
9.720459,1.6184803,0.28491
9.727641,1.5849615,0.23463176
9.842564,1.6591818,0.2657564
9.792285,1.6256629,0.21787235
9.701305,1.6328455,0.22026655
9.763555,1.5849615,0.18195933
9.742006,1.5777789,0.2705448
9.797073,1.5011644,0.29209262
9.660604,1.6519991,0.31124622
9.787497,1.6783354,0.30406362
9.749189,1.5945383,0.19153613
9.734824,1.5682021,0.17956513
9.770737,1.6519991,0.2825158
9.727641,1.6280571,0.2705448
9.710882,1.5777789,0.34476504
9.76116,1.5849615,0.30406362
9.694122,1.5705963,0.30645782
9.737218,1.5825673,0.31124622
9.77792,1.6304513,0.33518824
9.775525,1.5897499,0.2801216
9.617508,1.5753847,0.24899697
9.849746,1.5969325,0.36631286
9.720459,1.6112977,0.32321724
9.677363,1.5610195,0.30406362
9.799467,1.5251064,0.2873042
9.737218,1.5897499,0.25617957
9.742006,1.6496049,0.25378537
9.871294,1.6543933,0.23463176
9.727641,1.6352397,0.18435353
9.758766,1.6663644,0.2753332
9.77792,1.6759412,0.24420857
9.737218,1.5993267,0.2777274
9.856929,1.5275006,0.21547815
9.727641,1.5969325,0.20829555
9.773131,1.520318,0.2896984
9.727641,1.6041151,0.23223756
9.773131,1.5825673,0.21787235
9.725247,1.5969325,0.24420857
9.7563715,1.7046716,0.2633622
9.773131,1.9081788,0.33279404
9.737218,1.7118542,0.18674773
9.799467,1.5131354,0.34237084
9.763555,1.3623008,0.25378537
9.78989,1.4652514,0.22744916
9.667787,1.2808979,0.4429273
9.739613,1.5059528,0.36870706
9.746795,1.532289,0.38307226
9.742006,1.6304513,0.37349546
9.689334,1.6136919,0.39743748
9.916783,1.5777789,0.37828386
9.586384,1.5227122,0.35913026
9.765948,1.4700398,0.39743748
9.871294,1.2617443,0.34955344
9.67018,1.4700398,0.32321724
9.742006,1.5729905,0.45250413
9.8042555,1.5011644,0.5410896
9.576807,1.5059528,0.48362875
9.801862,1.4197617,0.3854665
9.7324295,1.5298948,0.29927522
9.722853,1.5729905,0.35913026
9.880871,1.5394717,0.29927522
9.742006,1.4389153,0.2825158
9.813833,1.541866,0.2873042
9.775525,1.5298948,0.38307226
9.667787,1.436521,0.4381389
9.787497,1.4891934,0.6368576
9.730036,1.3575124,0.61530983
9.787497,1.3335704,0.6512229
9.763555,1.3790601,0.61052144
9.718064,1.292869,0.62728083
9.751583,1.3072342,0.5746084
9.689334,1.3790601,0.5315128
9.7324295,1.4748282,0.5482722
9.773131,1.364695,0.47884035
9.753978,1.388637,0.46926352
9.82341,1.4030021,0.3878607
9.773131,1.4891934,0.40222588
9.734824,1.5682021,0.4405331
9.773131,1.4269443,0.39504328
9.739613,1.4053963,0.3878607
9.7324295,1.4221559,0.4165911
9.78989,1.4413095,0.39264908
9.749189,1.5011644,0.4285621
9.8042555,1.496376,0.4213795
9.727641,1.4221559,0.4189853
9.744401,1.5370775,0.50038815
9.832987,1.4915876,0.521936
9.76116,1.496376,0.50278234
9.765948,1.376666,0.45250413
9.770737,1.4221559,0.4165911
9.763555,1.508347,0.47165772
9.720459,1.5298948,0.46926352
9.809045,1.4891934,0.44532153
9.643845,1.5035586,0.5410896
9.742006,1.4437037,0.49081135
9.7563715,1.3910311,0.521936
9.696517,1.4341269,0.5315128
9.799467,1.4652514,0.46686932
9.67018,1.5179238,0.47405192
9.792285,1.2976574,0.47644615
9.665392,1.3670892,0.45968673
9.799467,1.4508862,0.4213795
9.744401,1.4508862,0.4429273
9.734824,1.42455,0.37588966
9.816227,1.5011644,0.33279404
9.837775,1.5227122,0.33039984
9.742006,1.5825673,0.31364042
9.7324295,1.4652514,0.35194764
9.811439,1.4532804,0.39264908
9.715671,1.5729905,0.4285621
9.742006,1.5634137,0.4405331
9.718064,1.4676456,0.4213795
9.701305,1.376666,0.46686932
9.80665,1.3910311,0.40940848
9.76116,1.4556746,0.4165911
9.737218,1.4867992,0.49559975
9.742006,1.448492,0.47405192
9.751583,1.472434,0.41180268
9.835381,1.4197617,0.3854665
9.706094,1.4628572,0.39743748
9.720459,1.4820108,0.4405331
9.710882,1.4652514,0.44771573
9.835381,1.4915876,0.41180268
9.813833,1.4053963,0.47644615
9.739613,1.4077905,0.47884035
9.639056,1.4269443,0.46208093
9.785102,1.4508862,0.40940848
9.710882,1.5179238,0.36391866
9.76116,1.5586253,0.47405192
9.730036,1.5011644,0.4237737
9.706094,1.4652514,0.40462008
9.725247,1.4820108,0.45489833
9.674969,1.4915876,0.4381389
9.730036,1.4197617,0.49799395
9.792285,1.472434,0.5315128
9.7563715,1.5346833,0.4405331
9.787497,1.5035586,0.51235914
9.720459,1.4796166,0.45250413
9.739613,1.448492,0.4237737
9.682152,1.4867992,0.4309563
9.744401,1.4652514,0.45729253
9.797073,1.4413095,0.4309563
9.730036,1.4437037,0.4165911
9.825804,1.4772224,0.4261679
9.746795,1.5035586,0.50757074
9.792285,1.5298948,0.4357447
9.763555,1.5562311,0.39743748
9.799467,1.4413095,0.35194764
9.785102,1.4413095,0.35913026
9.830592,1.412579,0.33279404
9.80665,1.4413095,0.36870706
9.703699,1.4915876,0.4285621
9.797073,1.5562311,0.40462008
9.713276,1.5394717,0.4261679
9.816227,1.4197617,0.40462008
9.751583,1.4867992,0.4429273
9.751583,1.4317327,0.47644615
9.753978,1.4221559,0.44771573
9.746795,1.5466543,0.37349546
9.785102,1.5466543,0.36391866
9.830592,1.6280571,0.40462008
9.742006,1.4915876,0.39504328
9.696517,1.4197617,0.33997664
9.82341,1.4915876,0.39743748
9.763555,1.4413095,0.48602295
9.710882,1.520318,0.4429273
9.694122,1.5777789,0.45250413
9.722853,1.5275006,0.34237084
9.813833,1.4987702,0.33518824
9.703699,1.4532804,0.4381389
9.65821,1.4269443,0.35434186
9.818622,1.4101849,0.4285621
9.68694,1.4891934,0.38307226
9.8042555,1.5059528,0.37349546
9.770737,1.4915876,0.40701428
