x,y,z
7.177817,1.4221559,-0.6679823
7.2304893,-1.4101849,-0.088585466
8.042124,-6.9719152,2.6048915
6.6965823,-8.099585,3.9312792
5.092467,-5.1762643,4.220978
4.6040497,-4.5394063,4.3742065
4.8338933,-3.904943,4.4819455
4.96318,-3.478775,5.351041
5.90889,-5.044583,5.109226
6.6989765,-5.662287,5.0374002
7.2448545,-5.813122,5.425261
7.5848308,-5.0421886,5.6215854
7.311892,-5.3965306,6.033388
7.359776,-4.661511,5.925649
7.1371155,-3.904943,5.255273
6.7348895,-4.5561657,4.711789
6.703765,-5.3701944,4.285621
6.457162,-4.5777135,4.4915223
6.315904,-4.996699,4.8698063
6.5026517,-5.437232,5.3007627
6.7324953,-5.3821654,5.6790466
6.7588315,-5.279215,5.595249
6.739678,-5.161899,5.1020436
6.5720835,-5.1571107,4.831499
6.588843,-5.1020436,4.7022123
6.5098343,-4.999093,4.7907977
6.588843,-4.9344497,4.795586
6.555324,-5.0158525,4.927267
6.50744,-4.8578353,5.2887917
6.5002575,-5.130774,5.3366756
6.576872,-4.853047,5.5760956
6.76362,-5.195418,5.746084
7.1466923,-4.4843397,6.208165
7.6734166,-3.952827,6.397307
8.939949,-4.7070007,6.126762
8.602366,-5.461174,5.4683566
8.836999,-4.333505,4.9583917
9.662998,-2.9520507,4.429273
10.85531,-2.291251,3.9480386
10.778696,-1.4532804,3.6822822
10.261548,-1.8387469,4.0414124
10.117896,-2.2840683,4.1922474
9.241618,-2.3654714,4.321534
7.723695,-2.1092918,4.5154643
5.777209,-2.0973208,4.211401
4.2640734,-2.4851813,3.2513258
3.5889084,-2.597709,2.480393
2.2625206,-2.767697,2.9137435
0.023942016,-4.402937,3.3997664
-0.11252748,-5.604826,3.7924154
0.45489833,-5.6646814,4.891354
-1.0845734,-4.2401314,9.320627
-2.5737667,-1.9321208,11.271901
-2.6288335,-2.1164744,10.613496
-1.400608,-1.4101849,11.468226
-2.7964275,-1.6927006,12.275072
-3.265691,-3.3806129,11.57836
-2.3415294,-2.4109612,11.307815
-2.7126305,-0.7613561,11.235989
-2.4756045,-0.4429273,9.445126
-1.6065093,-1.70946,8.341399
-0.91219085,-1.6208745,8.118738
-0.4237737,-0.49081135,8.846576
3.5529952,3.0071173,19.541473
-4.249708,-6.066907,15.442601
2.0350714,0.40701428,7.1083846
-0.32321724,2.1619642,9.143456
-0.19393034,-0.93852705,9.552865
0.60812724,-2.8107927,9.287108
0.8595184,-1.6567876,9.188946
0.4141969,-0.6919243,9.586384
0.23942018,-0.21308395,9.854534
-0.079008654,0.110133275,10.16578
0.5291186,-1.1492168,9.078813
0.35913026,-1.5251064,9.399636
0.21068975,-0.1316811,9.885659
0.16759412,0.009576807,9.610326
0.48362875,-0.02633622,9.653421
0.24420857,0.023942016,9.797073
0.22984336,0.02873042,9.67018
0.39504328,-0.37349546,9.624691
0.23223756,-0.6512229,9.8042555
0.37110126,-0.6368576,9.560047
0.56982,-0.8595184,9.351752
0.22984336,-0.7158663,9.579201
0.36631286,-0.47884035,9.55047
0.33039984,-0.39025488,9.617508
0.28491,-0.48841715,9.677363
0.2896984,-0.5363012,9.572019
0.29927522,-0.5626374,9.634268
0.25857377,-0.5770026,9.622296
0.33518824,-0.58418524,9.497798
0.2873042,-0.50278234,9.569624
0.37349546,-0.49559975,9.61272
0.29688102,-0.48123455,9.698911
0.29927522,-0.44771573,9.662998
0.33279404,-0.59136784,9.655815
0.40222588,-0.6727707,9.557653
0.35434186,-0.6440403,9.509769
0.25617957,-0.6871359,9.576807
0.2873042,-0.5554548,9.627085
0.24660277,-0.49559975,9.636662
0.31124622,-0.5291186,9.624691
0.30885202,-0.5554548,9.65821
0.34715924,-0.6655881,9.607931
0.34237084,-0.6751649,9.569624
0.2777274,-0.62967503,9.617508
0.29448682,-0.5626374,9.610326
0.2657564,-0.6799533,9.677363
0.24420857,-0.61291564,9.593566
0.22744916,-0.61530983,9.622296
0.30406362,-0.33518824,9.634268
0.29209262,-0.45729253,9.679757
0.29927522,-0.46208093,9.528923
0.25139117,-0.59376204,9.619903
0.29448682,-0.5434838,9.622296
0.2633622,-0.6655881,9.595961
0.34955344,-0.6679823,9.524135
0.38067806,-0.7398083,9.605537
0.30885202,-0.6799533,9.636662
0.39743748,-0.8283938,9.552865
0.29927522,-0.6440403,9.600749
0.28491,-0.61052144,9.653421
0.30406362,-0.6703765,9.600749
0.30406362,-0.6847417,9.569624
0.36870706,-0.7445967,9.543288
0.33518824,-0.7326257,9.627085
0.30166942,-0.8595184,9.531317
0.35194764,-0.830788,9.507375
0.25139117,-0.80684596,9.639056
0.2873042,-0.7469909,9.531317
0.2896984,-0.6536171,9.617508
0.33279404,-0.6584055,9.627085
0.40462008,-0.59376204,9.509769
0.37588966,-0.866701,9.598354
0.35913026,-0.7637503,9.533711
0.34955344,-0.82599956,9.574412
0.272939,-0.91937345,9.627085
0.35913026,-0.7565677,9.560047
0.30166942,-0.7158663,9.560047
0.33279404,-0.7110779,9.600749
0.33039984,-0.6847417,9.636662
0.29927522,-0.8331822,9.627085
0.33997664,-0.8834604,9.512163
0.32561144,-0.91697925,9.562442
0.35434186,-0.7757214,9.536105
0.34476504,-0.770933,9.552865
0.35673606,-0.7422025,9.643845
0.2896984,-0.7685388,9.56723
0.29209262,-0.7110779,9.543288
0.2873042,-0.79487497,9.560047
0.31603462,-0.770933,9.548077
0.36631286,-0.8810662,9.605537
0.24660277,-0.878672,9.591172
0.36391866,-0.80205756,9.593566
0.34476504,-0.89064306,9.56723
0.36631286,-0.90740246,9.524135
0.39264908,-0.8714894,9.595961
0.31124622,-0.8523358,9.540894
0.2753332,-0.90979666,9.519346
0.33758244,-0.8619126,9.703699
0.31124622,-0.8571242,9.466674
0.38307226,-0.7302315,9.512163
0.34476504,-0.79726917,9.627085
0.35434186,-0.7493851,9.610326
0.35434186,-0.8283938,9.536105
0.35434186,-0.8283938,9.536105
0.4141969,-0.80924016,9.591172
0.47405192,-0.81642276,9.56723
0.3184288,-0.8331822,9.543288
0.32561144,-0.7589619,9.56723
0.38307226,-0.79008657,9.509769
0.35434186,-0.7254431,9.478644
0.320823,-0.7062895,9.583989
0.33039984,-0.842759,9.586384
0.36631286,-0.81881696,9.588778
0.35194764,-0.79966336,9.588778
0.2873042,-0.7302315,9.548077
