x,y,z
7.335834,-0.37588966,6.2632318
7.2687964,-0.038307227,6.4882865
7.297527,0.4213795,6.469133
7.371747,0.80684596,6.459556
7.3645644,0.6799533,6.555324
7.4124484,0.545878,6.3685765
7.4244194,0.36152446,6.3901243
7.3525934,0.23942018,6.3230867
7.3310456,0.58897364,6.2943563
7.285556,0.5650316,6.301539
7.323863,0.6488287,6.4404025
7.4004774,0.079008654,6.3661823
7.3789296,-0.32561144,6.0381765
7.3645644,-0.22026655,6.05733
7.3909006,-0.011971008,6.2225304
7.374141,0.1388637,6.4284315
7.3166804,0.32800564,6.3661823
7.3190746,0.44771573,6.3230867
7.48188,0.45250413,6.3326635
7.2807674,0.5243302,6.3805475
7.398083,0.5554548,6.4978633
7.3430166,0.58897364,6.555324
7.3166804,0.5315128,6.409278
7.359776,-0.04309563,6.0980315
7.369353,-0.16759412,6.007052
7.515399,-0.016759412,6.215348
7.347805,-0.02633622,6.301539
7.410054,0.15801731,6.3542113
7.36217,0.5363012,6.528988
7.237672,0.45250413,6.591237
7.2592196,0.35194764,6.435614
7.314286,0.18914193,6.2584434
7.4028716,0.19153613,6.3589997
7.410054,0.10055647,6.5241995
7.28795,0.29688102,6.4643445
7.2783732,0.38307226,6.5122285
7.3525934,0.5267244,6.543353
7.345411,0.5530606,6.469133
7.3525934,0.56982,6.301539
7.455544,0.50757074,6.157887
7.503428,0.6751649,6.253655
7.4603324,0.7134721,6.277597
7.505822,0.2705448,6.208165
7.398083,-0.023942016,6.0238113
7.477092,-0.0023942017,6.033388
7.4507556,0.22026655,6.2704144
7.4723034,0.48123455,6.3182983
7.4746976,0.23942018,6.181829
7.431602,0.011971008,6.093243
7.5321584,0.05267244,6.0597243
7.57286,0.16998832,6.0716953
7.615956,0.33518824,6.1507044
7.469909,0.35434186,5.8322754
7.3190746,0.79487497,5.5162406
7.395689,1.0247183,5.427655
7.429208,1.8483237,5.1882353
7.575254,1.6184803,5.1930237
8.133103,1.7764976,5.533
8.248025,2.5713725,5.4922986
8.1881695,3.0382419,4.9943047
8.549694,6.4260373,4.948815
6.9407907,3.904943,3.3423057
5.686229,-2.96881,2.8203697
7.4268136,-7.9942393,2.396596
5.3582234,-5.765238,5.7029886
1.4460979,-2.1547816,9.734824
2.078167,-1.6783354,12.825739
3.9959226,-4.307169,13.115437
5.159505,-5.781997,12.143391
5.161899,-5.801151,10.184934
5.073313,-5.6359506,8.305486
5.118803,-4.948815,7.369353
5.233725,-3.7445314,7.0221934
5.707777,-2.597709,7.290344
5.861006,-2.1212628,7.290344
5.74369,-2.1404164,6.789956
5.839458,-2.0757728,6.5696893
5.887342,-2.1691468,6.576872
5.9304376,-1.6424223,6.7133417
5.719748,-1.3479356,6.6774287
5.6646814,-1.2880806,6.3685765
5.98311,-1.4221559,5.755661
6.081272,-1.0582372,6.1076083
6.2584434,-1.7932571,6.227319
6.136339,-3.0119057,7.893683
5.8107276,-3.1148565,8.506598
5.449203,-3.0669725,8.683769
5.463568,-3.0071173,9.136273
5.389348,-2.3750482,9.995792
5.351041,-2.3391352,9.672575
5.0900726,-1.1204864,8.568848
5.3079453,-1.1947067,8.552089
5.734113,-1.5753847,8.348581
5.777209,-1.3982137,7.78355
5.6551046,-1.4580688,6.9048777
5.805939,-2.267309,6.505046
6.0884547,-2.3343468,7.2687964
5.90889,-1.6184803,7.4244194
5.865794,-1.0462662,7.3166804
5.827487,-1.0630256,7.2424603
6.0238113,-1.5873557,7.3166804
6.030994,-1.3910311,7.153875
5.9041014,-1.3934253,6.7253127
6.105214,-1.70946,6.7468605
5.973533,-1.9728222,7.120356
6.090849,-1.6903064,7.5321584
5.913678,-1.6711528,7.4363904
