x,y,z
9.497798,2.5498247,-2.2122424
9.44752,2.3702598,-2.1619642
9.215282,2.3247697,-2.1906946
9.425972,2.4013844,-2.1284454
9.3182335,2.4109612,-2.1284454
9.313444,2.5378537,-2.5354595
9.440337,2.5498247,-2.4229321
9.239224,2.4899697,-2.420538
9.14585,2.6384103,-2.3439236
9.406818,2.731784,-2.1452048
9.102755,2.6910827,-2.492364
9.205706,2.743755,-2.6048915
9.49301,3.0478187,-2.6431987
9.241618,2.9951463,-2.6647465
9.344569,2.908955,-2.7389667
9.363723,2.645593,-2.6264393
9.255983,2.5067291,-2.597709
9.323022,2.315193,-2.492364
9.330204,2.2720973,-2.5139117
9.32781,2.384625,-2.4708161
9.560047,2.4133554,-2.5570073
9.131485,2.336741,-2.5881321
9.514558,2.4277205,-2.5498247
9.270349,2.3104045,-2.4660277
9.203311,2.4779987,-2.5187001
9.454702,2.554613,-2.5019407
9.291897,2.4971523,-2.516306
9.378088,2.5953147,-2.4732103
9.275137,2.540248,-2.408567
9.3661175,2.6072857,-2.4516625
9.406818,2.5881321,-2.5187001
9.248801,2.5187001,-2.542642
9.378088,2.5594015,-2.4588451
9.270349,2.492364,-2.4660277
9.459491,2.4732103,-2.5019407
9.284714,2.5306711,-2.4899697
9.332599,2.384625,-2.5234885
9.346964,2.3942018,-2.5570073
9.346964,2.4109612,-2.5210943
9.301474,2.360683,-2.540248
9.337387,2.3798366,-2.5378537
9.25359,2.3822308,-2.6120741
9.363723,2.3678656,-2.6384103
9.344569,2.4037786,-2.585738
9.332599,2.5019407,-2.6360161
9.294291,2.4396915,-2.6264393
9.313444,2.504335,-2.6719291
9.339781,2.504335,-2.6839
9.255983,2.5450363,-2.6168625
9.358934,2.4947581,-2.5905263
9.296685,2.4995465,-2.633622
9.3182335,2.540248,-2.5713725
9.279925,2.5689783,-2.5833437
9.239224,2.4588451,-2.6408045
9.344569,2.4995465,-2.6503813
9.375694,2.3175871,-2.5905263
9.315839,2.3582888,-2.6120741
9.255983,2.372654,-2.6551697
9.275137,2.3989902,-2.645593
9.28232,2.3295584,-2.6719291
9.361329,2.3702598,-2.6527755
9.255983,2.3989902,-2.7006595
9.330204,2.396596,-2.705448
9.28232,2.3822308,-2.6743233
9.320627,2.408567,-2.707842
9.296685,2.4420857,-2.6839
9.284714,2.4756045,-2.657564
9.3661175,2.4756045,-2.6001031
9.31105,2.4468741,-2.5761611
9.270349,2.3894134,-2.6144683
9.399636,2.4468741,-2.6120741
9.23683,2.4420857,-2.5953147
9.334992,2.44448,-2.633622
9.320627,2.4516625,-2.6144683
9.267955,2.396596,-2.645593
9.289502,2.44448,-2.6623523
