x,y,z
6.8162923,2.5187001,6.576872
6.766014,2.5091233,6.3901243
6.861782,2.2529438,6.5026517
6.8043213,2.1811178,6.5601125
6.754043,2.2816741,6.5026517
6.9120603,2.2026656,6.6774287
6.76362,2.2601264,6.588843
6.861782,2.2577322,6.64391
6.8186865,2.3535004,6.6056023
6.849811,2.3295584,6.483498
6.799533,2.2529438,6.4068837
6.7492547,2.2864625,6.4523735
6.919243,2.2242134,6.423643
6.7492547,2.408567,6.528988
6.811504,2.3942018,6.481104
6.8306575,2.2888567,6.4978633
6.9000893,2.3223755,6.5936313
6.7923503,2.3319526,6.6510925
6.7492547,2.4420857,6.6726403
6.7684083,2.480393,6.5744777
6.7708025,2.3870192,6.6056023
6.7612257,2.3223755,6.5816603
6.775591,2.2840683,6.5625067
6.775591,2.3439236,6.658275
6.7444663,2.3199813,6.6606693
6.682217,2.4947581,6.6295447
6.751649,2.420538,6.5601125
6.742072,2.3654714,6.5122285
6.7564373,2.2002714,6.421249
6.8043213,2.2385786,6.43322
6.825869,2.3223755,6.5361705
6.7731967,2.3630772,6.531382
6.813898,2.492364,6.564901
6.8522053,2.4372973,6.5984197
6.8282633,2.2625206,6.6367273
6.8162923,2.2625206,6.619968
6.742072,2.3989902,6.6486983
6.7588315,2.6408045,6.588843
6.7492547,2.5450363,6.5146227
6.7803793,2.15957,6.469133
6.8306575,2.1523874,6.5218053
6.8330517,2.2481554,6.631939
6.7492547,2.2026656,6.622362
6.7564373,2.3008277,6.6271505
6.7372837,2.4588451,6.6295447
6.7109475,2.4851813,6.5601125
6.7372837,2.3989902,6.4667387
6.8162923,2.2720973,6.3829417
6.8809357,2.3870192,6.4068837
6.7731967,2.5091233,6.5601125
6.823475,2.4875755,6.5481415
6.7564373,2.4540567,6.421249
6.766014,2.291251,6.397307
6.7947445,2.327164,6.4906807
6.7803793,2.3702598,6.6056023
6.766014,2.3702598,6.694188
6.706159,2.4133554,6.7468605
6.658275,2.4157495,6.751649
6.6870055,2.3702598,6.8809357
6.622362,2.456451,6.8426285
6.7133417,2.3127987,6.7612257
6.691794,2.3295584,6.7205243
6.8450227,2.4516625,6.6965823
6.777985,2.384625,6.4978633
6.7684083,2.2266076,6.315904
6.7564373,2.3080103,6.208165
6.447585,2.4133554,5.9926867
6.4643445,2.4229321,5.9041014
6.397307,2.528277,6.3685765
7.0940194,2.504335,7.129933
8.710106,2.837129,8.24563
6.7923503,2.681506,7.3047094
6.217742,2.5594015,6.2129536
6.7588315,1.9512744,5.33907
7.015011,4.0342298,6.481104
6.9240313,4.0892963,6.7348895
7.103596,2.9975405,6.4380083
6.8162923,3.3446999,6.411672
6.7492547,2.6120741,5.518635
6.71813,1.745373,5.5258174
6.71813,2.8060043,6.155493
6.8091097,3.1196449,6.4499793
6.9407907,3.0023289,6.505046
6.8689647,2.5689783,6.517017
6.8809357,2.4827871,6.517017
6.8809357,2.789245,6.655881
6.8569937,3.2130187,6.754043
6.777985,3.4979286,6.7348895
6.921637,3.4332852,6.3829417
7.0102224,3.323152,6.1938
7.1610575,3.1962593,5.995081
6.7588315,2.9831753,5.657499
6.7492547,2.44448,5.6359506
6.4499793,2.2098482,5.767632
6.0860605,2.0805612,5.8107276
6.5337763,2.0638018,6.1938
6.64391,3.0669725,6.885724
6.4739213,3.7349546,7.264008
6.4523735,3.667917,7.275979
6.327875,3.550601,7.03177
6.3230867,3.6535518,6.9862804
6.38773,3.7229836,6.909666
6.4882865,3.620033,6.6606693
6.622362,3.5745432,6.4188547
6.682217,3.3327289,6.0764837
6.6750345,3.550601,6.0501475
6.5984197,3.550601,5.93762
6.4020953,3.074155,5.8562174
6.6750345,3.1244333,5.6790466
6.5098343,3.1435869,5.707777
6.471527,3.074155,5.9160724
6.6295447,2.7341783,5.4420204
6.6846113,3.3854012,6.1530986
6.9264255,2.8538885,6.5577183
6.825869,2.7102363,6.9120603
6.3685765,3.2249897,7.1395097
6.3661823,4.1922474,6.9958572
6.2991447,4.771644,6.933608
6.5744777,3.4955344,6.167464
7.2089415,2.44448,5.8705826
7.180211,2.6384103,6.1123967
7.1347213,3.064578,6.2392898
7.098808,3.0358477,6.1076083
7.393295,3.3207579,6.6415157
7.053318,5.446809,6.742072
6.7971387,4.2401314,7.0006456
7.086837,0.6967127,7.723695
5.9448028,-1.7022774,8.24563
6.2871737,-1.3814543,9.375694
6.208165,3.4117374,9.524135
6.3350577,3.0573955,8.152257
6.4739213,-2.2960393,6.787562
6.6175733,-1.7884687,8.350976
6.078878,0.61052144,8.731653
6.9000893,-2.7605145,5.2840033
7.6949644,-5.12838,3.3901896
7.2209125,-4.096479,3.157952
7.5441294,-5.509058,1.3239936
8.001422,-5.0876784,0.2777274
7.955932,-4.9679685,-0.9816227
8.590396,-3.5194764,-2.1188686
8.590396,-3.6224272,-1.9416976
9.121908,-3.4811692,-1.9321208
8.535329,-3.478775,-0.89782566
8.058883,-3.596091,-0.29448682
8.597578,-4.6112323,-2.3654714
8.37013,-3.7373488,-4.1515455
8.451532,-1.2952632,-3.7062242
8.147469,0.521936,-0.6727707
7.819463,-2.0805612,3.667917
7.9008656,-4.55856,10.2974615
8.552089,-9.497798,10.637438
8.477868,-7.7907324,6.969521
7.40766,-2.8754363,5.662287
7.4507556,-2.7246015,2.8754363
8.607155,-0.6871359,-0.59615624
8.607155,-1.5729905,-3.679888
9.112331,-1.2761095,-5.2744265
9.14585,-1.6065093,-6.694188
9.215282,-3.6655228,-6.9503675
8.808268,-3.7852328,-5.0374002
8.451532,-4.441244,-3.8283286
8.449138,-5.801151,-2.8443117
7.6135616,-6.435614,-2.0350714
8.003817,-5.9184666,-3.4356794
8.542512,-4.0797195,-3.8594532
8.640674,-4.426879,-3.5098996
8.9040365,-3.052607,-2.6910827
9.842564,-3.7804444,-3.8618474
8.554482,-3.526659,-3.2728736
8.645462,-2.0685902,-0.23463176
8.542512,-1.1324574,0.5602432
8.1642275,-1.2617443,0.80445176
8.796297,-0.878672,1.079785
8.288726,-0.6655881,1.2210429
8.384495,-2.4468741,-0.30645782
8.475474,-2.6719291,-2.4253263
8.808268,-3.478775,-4.4963107
7.9822683,-7.4866686,-7.0341644
7.043741,-12.935872,-11.336545
9.090784,-14.489709,-14.487314
7.9224133,-11.77229,-12.768278
5.722142,-8.4826565,-9.435549
5.997475,-5.6000376,-4.6591167
8.583213,-3.4380736,0.016759412
