x,y,z
0.36631286,-0.29209262,9.622296
0.24420857,-0.3184288,9.581595
0.15562311,-0.4165911,9.545682
0.17477672,-0.25378537,9.653421
0.12449849,-0.32800564,9.653421
0.095768064,-0.25617957,9.672575
0.088585466,-0.35434186,9.617508
0.055066638,-0.37349546,9.627085
0.16280572,-0.29209262,9.639056
0.16759412,-0.20829555,9.660604
0.1340753,-0.110133275,9.624691
0.11252748,-0.19871874,9.588778
0.095768064,-0.24181437,9.552865
0.15801731,-0.3184288,9.588778
0.1436521,-0.4381389,9.672575
0.1436521,-0.45489833,9.586384
0.20590134,-0.44532153,9.607931
0.1412579,-0.50757074,9.574412
0.16759412,-0.60812724,9.531317
0.19393034,-0.51954174,9.526528
0.19871874,-0.61291564,9.615114
0.2801216,-0.5243302,9.548077
0.24420857,-0.6488287,9.569624
0.37588966,-0.6536171,9.490616
0.22505496,-0.60333884,9.713276
0.20350714,-0.581791,9.67018
0.110133275,-0.641646,9.52174
0.11492168,-0.4357447,9.533711
0.12449849,-0.30406362,9.531317
0.038307227,-0.24899697,9.677363
0.01436521,-0.1364695,9.653421
0.05267244,-0.11731588,9.662998
0.04309563,-0.045489833,9.631873
0.110133275,0.10295067,9.576807
0.10055647,0.15562311,9.722853
0.08140286,0.19393034,9.703699
0.10055647,0.14604631,9.67018
0.1340753,0.15083471,9.648633
0.20111294,0.22984336,9.569624
0.20111294,0.33758244,9.674969
0.2681506,0.37349546,9.636662
0.15801731,0.16759412,9.629479
0.110133275,0.06703765,9.636662
0.050278235,-0.107739076,9.552865
0.1316811,-0.22744916,9.619903
0.15322891,-0.37588966,9.557653
0.17477672,-0.4189853,9.619903
0.20111294,-0.33758244,9.619903
0.22026655,-0.2873042,9.576807
0.15322891,-0.20590134,9.593566
0.062249243,-0.16280572,9.672575
0.079008654,-0.14604631,9.636662
0.17956513,-0.18914193,9.56723
0.31124622,-0.2825158,9.514558
0.24899697,-0.30885202,9.569624
0.17717093,-0.25378537,9.603143
0.11731588,-0.15322891,9.639056
0.076614454,-0.10295067,9.6845455
0.0047884034,-0.016759412,9.607931
0.0047884034,0.16759412,9.698911
0.035913024,0.11971009,9.648633
0.12210429,0.055066638,9.636662
0.14844051,0.10534488,9.672575
0.090979666,0.11492168,9.653421
0.09816227,0.07182605,9.627085
0.12210429,-0.031124622,9.624691
0.14844051,-0.08140286,9.564836
0.20590134,-0.21068975,9.56723
0.1364695,-0.260968,9.653421
0.18435353,-0.37588966,9.581595
0.093373865,-0.17717093,9.509769
0.19393034,-0.31124622,9.629479
0.12689269,-0.23942018,9.598354
0.25378537,-0.23223756,9.713276
0.1412579,-0.17717093,9.595961
0.1436521,-0.23463176,9.617508
0.110133275,-0.22266077,9.603143
0.23942018,-0.19871874,9.595961
0.15083471,-0.2657564,9.569624
