x,y,z
0.30406362,1.2569559,9.519346
0.30885202,1.2617443,9.564836
0.2777274,1.2354081,9.5385
0.2873042,1.3359646,9.533711
0.39264908,1.1659763,9.543288
0.35194764,1.2641385,9.528923
0.39025488,1.2425907,9.528923
0.33039984,1.2761095,9.543288
0.34476504,1.2330139,9.548077
0.39504328,1.2162545,9.512163
0.34476504,1.2234371,9.488221
0.33518824,1.1971009,9.478644
0.33997664,1.1899183,9.540894
0.30406362,1.2018893,9.569624
0.4309563,1.271321,9.488221
0.34955344,1.2138603,9.548077
0.29688102,1.1420342,9.560047
0.30645782,1.1563994,9.514558
0.31603462,1.1851299,9.495404
0.39743748,1.2808979,9.624691
0.35194764,1.2449849,9.536105
0.36391866,1.328782,9.524135
0.33279404,1.2689269,9.507375
0.40701428,1.2545617,9.557653
0.37828386,1.3455414,9.512163
0.34237084,1.3239936,9.536105
0.28491,1.292869,9.536105
0.28491,1.2976574,9.61272
0.32321724,1.2330139,9.5385
0.33758244,1.2473791,9.454702
0.33518824,1.271321,9.548077
0.39264908,1.271321,9.471462
0.29448682,1.2497733,9.574412
0.29688102,1.1683705,9.512163
0.36152446,1.1133038,9.56723
0.28491,1.151611,9.504981
0.44532153,1.1204864,9.564836
0.37110126,1.13964,9.524135
0.37349546,1.1947067,9.533711
0.39264908,1.1444284,9.557653
0.34955344,1.2162545,9.524135
0.24660277,1.1923125,9.533711
0.37349546,1.2306197,9.557653
0.2681506,1.2162545,9.564836
0.38307226,1.2761095,9.524135
0.31364042,1.1683705,9.610326
0.4141969,1.1611878,9.562442
0.48123455,1.1492168,9.639056
0.29688102,1.2354081,9.629479
0.37828386,1.2018893,9.481039
0.34715924,1.1994951,9.579201
0.36631286,1.2497733,9.548077
0.39504328,1.2378023,9.540894
0.33279404,1.2425907,9.516952
0.4213795,1.1659763,9.485827
0.4429273,1.2880806,9.576807
0.33758244,1.2330139,9.569624
0.4285621,1.1468226,9.514558
0.40222588,1.2617443,9.531317
0.4213795,1.271321,9.516952
0.34237084,1.3192052,9.536105
0.32800564,1.340753,9.545682
0.34715924,1.316811,9.576807
0.34476504,1.3503298,9.543288
0.39983168,1.2952632,9.452309
0.39504328,1.3192052,9.507375
0.4213795,1.4030021,9.533711
0.36152446,1.3551182,9.52174
0.4309563,1.2785037,9.579201
0.3878607,1.2234371,9.516952
0.37588966,1.3192052,9.619903
0.37828386,1.3311762,9.524135
0.4165911,1.3024458,9.528923
0.4237737,1.3024458,9.586384
0.4189853,1.2904748,9.509769
0.4429273,1.364695,9.548077
0.35194764,1.4101849,9.557653
0.4165911,1.3575124,9.560047
0.37349546,1.2952632,9.454702
0.45250413,1.2545617,9.497798
0.36391866,1.3599066,9.598354
0.30645782,1.2976574,9.543288
0.45250413,1.3335704,9.548077
0.38067806,1.1420342,9.473856
0.20350714,0.91219085,9.421184
0.50996494,1.1372458,9.382876
0.5722142,1.9201498,9.672575
0.4165911,1.5682021,9.433155
0.63206923,2.1092918,9.303867
0.4309563,2.8634653,9.442732
0.41180268,2.882619,9.246407
0.37349546,3.1962593,9.246407
0.29448682,3.6272156,9.155427
0.45010993,3.3901896,9.112331
0.48362875,3.0382419,9.150639
0.5650316,2.6982653,9.220071
0.5482722,2.4372973,9.255983
0.6464345,2.2385786,9.3182335
0.5770026,2.2744915,9.390059
0.45250413,2.348712,9.275137
0.45729253,2.432509,9.303867
0.48362875,2.4420857,9.394848
0.40940848,2.4277205,9.43076
0.51954174,2.2984335,9.323022
0.5386954,2.1978772,9.380483
0.50038815,2.0949266,9.301474
0.5267244,1.9680338,9.346964
0.48362875,1.9895816,9.392453
0.49320555,1.8866309,9.397242
0.49081135,2.0326772,9.397242
0.4285621,1.9871874,9.416395
0.45729253,2.0757728,9.387665
0.50996494,2.0685902,9.3661175
0.49320555,2.0087352,9.397242
0.51714754,2.0733786,9.406818
0.46926352,2.1092918,9.380483
0.49559975,2.0685902,9.382876
0.50278234,2.1643584,9.387665
0.46447513,2.0925324,9.414001
0.533907,1.9512744,9.442732
0.533907,1.9776106,9.382876
0.48362875,2.0853498,9.387665
0.50278234,1.9895816,9.3733
0.45250413,2.030283,9.476251
0.40701428,1.9416976,9.435549
0.4213795,1.8866309,9.481039
0.47884035,1.9297266,9.3661175
0.51714754,1.8794483,9.416395
0.45729253,1.9488802,9.43076
0.51475334,1.946486,9.461885
0.44532153,1.8866309,9.454702
0.4189853,1.8938135,9.469068
0.4357447,1.9680338,9.44752
0.5410896,1.9512744,9.445126
0.4309563,1.9560628,9.488221
0.44532153,1.970428,9.457097
0.45010993,1.9632454,9.440337
0.51475334,2.0159178,9.43076
0.5434838,1.9297266,9.414001
0.51954174,1.8770541,9.464279
0.47644615,1.8579005,9.457097
0.47405192,1.8794483,9.437943
0.4261679,1.8291701,9.459491
0.47405192,1.8315643,9.437943
0.36870706,1.8243817,9.397242
0.46686932,1.8387469,9.409213
0.44532153,1.7836803,9.454702
0.4261679,1.8100165,9.423578
0.38067806,1.8674773,9.519346
0.4309563,1.8938135,9.519346
0.40462008,1.7669208,9.504981
0.45010993,1.8746599,9.437943
0.35673606,1.9321208,9.457097
0.49081135,1.8195933,9.428367
0.47884035,1.8674773,9.576807
0.4165911,1.8052281,9.382876
0.49081135,1.8555063,9.464279
0.4165911,1.8866309,9.449914
0.4429273,1.8794483,9.409213
0.4429273,1.8794483,9.409213
0.51714754,1.8267759,9.459491
0.521936,1.8076223,9.478644
0.47405192,1.8411411,9.478644
0.4381389,1.8770541,9.397242
0.5650316,1.7764976,9.502586
0.5410896,1.8890251,9.428367
0.4333505,1.8100165,9.490616
0.37588966,1.7022774,9.555259
0.41180268,1.733402,9.469068
0.49799395,1.757344,9.423578
0.45489833,1.6711528,9.471462
0.46447513,1.7238252,9.504981
0.5291186,1.7477672,9.507375
0.4429273,1.6807296,9.442732
0.40701428,1.673547,9.406818
0.4309563,1.7501614,9.476251
0.4285621,1.7022774,9.488221
0.5602432,1.697489,9.452309
0.49559975,1.697489,9.461885
0.49320555,1.6687586,9.454702
0.5267244,1.6783354,9.483433
0.50278234,1.673547,9.478644
0.51235914,1.6424223,9.500193
0.48841715,1.7262194,9.490616
0.4429273,1.6591818,9.469068
0.46686932,1.6472107,9.466674
0.48123455,1.6639702,9.473856
0.44532153,1.6041151,9.481039
0.49320555,1.6496049,9.545682
0.48362875,1.6112977,9.433155
0.48841715,1.5921441,9.44752
0.50517654,1.697489,9.471462
0.4429273,1.673547,9.449914
0.5386954,1.553837,9.478644
0.48602295,1.6519991,9.41879
0.5506664,1.6400281,9.473856
0.47405192,1.6328455,9.524135
0.47405192,1.5682021,9.536105
0.44771573,1.673547,9.500193
0.49081135,1.6112977,9.440337
0.40940848,1.6376339,9.543288
0.5243302,1.5562311,9.464279
0.51954174,1.5107412,9.519346
0.49559975,1.6160861,9.586384
0.49320555,1.6376339,9.497798
0.6560113,1.673547,9.394848
0.48841715,1.70946,9.497798
0.45729253,1.4460979,9.41879
0.45489833,1.3335704,9.325416
0.29688102,1.4939818,9.502586
0.16519992,1.4772224,10.187328
-0.12210429,1.8195933,9.667787
0.33279404,1.8267759,9.387665
0.31364042,1.7190368,9.593566
0.44532153,1.412579,9.560047
0.59136784,1.0702082,8.920795
0.60812724,0.80445176,9.392453
0.33279404,1.4748282,9.720459
0.25378537,0.9840169,9.454702
0.2801216,1.2401965,9.416395
-0.007182605,1.6831238,9.7324295
0.2801216,1.6400281,9.476251
0.32561144,2.1547816,9.3733
0.272939,2.908955,9.694122
0.38067806,2.657564,9.358934
0.50038815,2.4061728,9.361329
0.5602432,2.741361,9.504981
0.50278234,2.5067291,9.325416
0.7158663,2.4492683,9.215282
0.47884035,2.2960393,9.464279
0.34715924,2.27928,9.461885
0.36152446,1.7932571,9.246407
0.39025488,1.4053963,9.560047
0.17717093,1.283292,9.502586
0.320823,1.4173675,9.574412
0.24420857,1.3335704,9.615114
0.533907,1.2378023,9.509769
0.50996494,1.3192052,9.483433
0.581791,1.3934253,9.375694
0.61530983,1.5298948,9.437943
0.46447513,1.436521,9.576807
0.49799395,1.4891934,9.49301
0.4165911,1.1923125,9.495404
0.40701428,0.9959879,9.560047
0.33997664,1.2138603,9.715671
0.51475334,1.3910311,9.255983
0.40462008,0.7086837,9.258378
0.45489833,0.16998832,10.0508585
0.14604631,0.35194764,9.689334
0.45010993,0.6512229,9.296685
0.110133275,-0.062249243,9.7324295
0.08379706,0.38307226,10.105926
0.11971009,0.641646,9.56723
0.12928689,0.40462008,9.404425
0.36870706,0.35913026,9.239224
0.61291564,0.61770403,9.615114
0.021547815,0.2705448,10.228029
0.36391866,-0.39983168,10.5704
0.6344634,0.9696517,10.263943
0.50757074,0.8834604,10.055647
