x,y,z
9.888053,1.1659763,-0.12210429
10.424355,0.48123455,-0.7182605
11.125855,-0.062249243,-0.48602295
11.051635,0.19393034,-0.23463176
10.69011,1.4460979,0.18674773
11.049241,2.693477,1.30484
12.035652,2.4468741,2.5330653
12.715605,2.4109612,4.050989
16.388311,5.140351,1.7190368
22.292412,5.497087,2.645593
21.394587,1.0151415,3.8426938
19.2829,-2.1763294,4.050989
20.235792,-2.1930888,3.0478187
20.020315,-1.8411411,2.4468741
16.112978,-2.9616275,2.0350714
12.483368,-5.085284,0.7637503
9.095572,-6.7612257,-3.074155
4.841076,-9.224859,-5.2121773
0.9959879,-12.457031,-12.605472
-0.37828386,-12.586318,-17.386692
-3.6894648,-9.069236,-11.827356
-5.9400144,-6.6056023,-4.0078936
-5.3247046,-5.592855,-0.50996494
-5.386954,-4.572925,-1.8770541
-6.5577183,-4.4843397,-2.1332338
-8.863335,-4.4436383,-3.8402996
-11.633426,-2.4181437,-6.0285997
-14.671668,3.5984852,-6.835446
-17.391481,10.309433,-7.1371155
-16.673222,15.140931,-7.067683
-14.528016,17.736246,-6.885724
-11.391612,17.484856,-7.165846
-8.020576,17.851168,-8.920795
-2.8754363,26.956316,-14.947001
2.837129,34.897884,-15.626954
-2.1140802,20.30283,-10.989386
-6.823475,21.758505,-5.109226
-1.1204864,9.461885,-14.549563
-0.62488663,15.569493,-18.851944
-0.7781156,26.139894,-15.4880905
-10.584765,21.622036,-7.2185183
-13.570335,9.916783,-6.691794
-14.642938,-4.4364557,4.711789
-28.517336,-1.6639702,-30.528465
-41.127598,-33.274616,-46.876076
-33.456573,-50.733135,-18.87828
-17.575834,-42.717346,-11.824963
-3.5817258,-48.216827,-10.362105
-3.5817258,-48.216827,-10.362105
1.1683705,-31.950623,0.9888053
-4.1611223,-27.399244,1.8914193
-3.241749,-21.205444,-5.0781016
-5.2863975,-16.790537,-5.887342
-8.295909,-10.206482,-5.341464
-10.457873,-4.292804,-4.5058875
-13.266272,-1.5921441,-6.054936
-17.298107,0.7230489,-5.889736
-20.020315,5.255273,-6.631939
-19.132067,16.393099,-12.89517
-11.5616,15.756242,-12.732365
-6.7253127,12.186486,-15.10023
-6.8306575,44.158657,-15.286978
7.1155677,40.98634,0.40222588
0.16280572,24.341848,7.5824366
-11.161768,15.844827,10.25676
-12.045229,11.868058,20.357897
-16.072275,8.200141,19.725828
-21.787235,-6.5696893,-14.944607
-27.004202,-77.74213,-20.298042
15.665261,-63.135098,-11.566388
38.230614,-11.245565,16.53675
13.199234,8.652645,26.82703
8.147469,3.2034419,24.96434
6.208165,-17.384298,9.459491
13.4195,-24.24608,6.3350577
15.306131,-15.569493,7.1083846
12.078748,-9.873688,6.9168487
8.513782,-2.2266076,7.73806
6.5744777,-0.94331545,6.993463
6.615179,-2.741361,5.0302176
7.019799,-3.347094,4.2042184
7.275979,-4.074931,3.7421372
7.417237,-6.9503675,3.7301662
7.33344,-11.044453,3.1747115
7.335834,-10.943896,3.8043866
6.540959,-8.499416,4.620809
6.2704144,-9.469068,5.403713
6.1890116,-9.7324295,6.3350577
5.781997,-7.321469,8.169016
5.5282116,-5.056554,9.495404
5.068525,-2.542642,10.441113
3.0310593,-1.2114661,11.674128
2.2505496,-2.087744,13.359646
2.147599,-1.3263878,12.978968
2.6072857,-0.29927522,10.795456
2.6839,-0.36152446,8.259995
3.4931402,-1.745373,5.542577
3.6607344,-2.2361844,3.7253778
3.5649664,-1.8818425,2.6408045
3.526659,-1.5370775,2.9257145
3.0262709,-2.3391352,2.693477
3.86903,-3.0502129,1.958457
5.0517654,-4.110844,1.4891934
5.133168,-5.602432,1.6232687
5.3582234,-6.7013707,1.7118542
5.580884,-7.089231,3.217807
6.4667387,-4.405331,5.427655
7.1059904,-0.2801216,7.3549876
7.309498,-1.8722657,7.0724716
7.350199,-3.3494883,6.445191
7.45315,-4.1036615,6.215348
7.5800424,-4.8698063,5.765238
7.503428,-6.5577183,5.0062757
7.7093296,-8.0924015,4.4244847
8.310274,-7.8146744,4.2042184
8.973468,-7.6470804,4.220978
9.514558,-7.249643,4.5082817
